Info [CEngine.cpp:349, CEngine::initWindow]: Initializing application window.
Info [CEngine.cpp:350, CEngine::initWindow]: Window width: 800.
Info [CEngine.cpp:351, CEngine::initWindow]: Window height: 600.
Info [CEngine.cpp:352, CEngine::initWindow]: Window title: CG 2015.
Info [CGlfwWindow.cpp:38, CGlfwWindow::init]: Creating GLFW window for OpenGL version 4.3.
Info [CDeferredRenderer.cpp:35, CDeferredRenderer::init]: Initializing deferred renderer.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/deferred/geometry_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/geometry_pass_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/geometry_pass_fragment.glsl.
Info [CDeferredRenderer.cpp:1669, CDeferredRenderer::initGeometryPass]: GBuffer state: A user-defined FBO is bound and is complete. OK to render.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/shadow_map_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/shadow_map_pass_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/shadow_map_pass_fragment.glsl.
Info [CDeferredRenderer.cpp:1810, CDeferredRenderer::initShadowMapPass]: Shadow map buffer state: A user-defined FBO is bound and is complete. OK to render.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/shadow_cube_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/shadow_cube_pass_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/shadow_cube_pass_fragment.glsl.
Info [CDeferredRenderer.cpp:1751, CDeferredRenderer::initShadowCubePass]: Shadow cube buffer state: A user-defined FBO is bound and is complete. OK to render.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/deferred/point_light_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/point_light_pass_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/point_light_pass_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/deferred/directional_light_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/directional_light_pass_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/directional_light_pass_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/deferred/illumination_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/illumination_pass_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/deferred/illumination_pass_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/gauss_blur_horizontal_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/gauss_blur_horizontal_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/gauss_blur_horizontal_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/gauss_blur_vertical_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/gauss_blur_vertical_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/gauss_blur_vertical_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/fxaa_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/fxaa_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/fxaa_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/fog_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/fog_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/fog_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/god_ray_1_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/god_ray_1_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/god_ray_1_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/god_ray_2_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/god_ray_2_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/god_ray_2_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/depth_of_field_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/depth_of_field_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/depth_of_field_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/vignette_blur_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/vignette_blur_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/vignette_blur_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/bloom_1_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/bloom_1_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/bloom_1_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/bloom_2_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/bloom_2_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/bloom_2_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/lens_flare_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/lensflare_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/lensflare_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/lens_flare_pass2.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/lensflare_vertex_2.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/lensflare_fragment_2.glsl.
